"name","taxID","taxRank","taxLineage","Freq","cladeReads_mean","cladeReads_max","bracken_reads_mean","bracken_reads_max","RiskGroup","HOMD","HOMD.Category"
"Clostridioides difficile",1496,"S","r_root|k_Bacillati|p_Bacillota|c_Clostridia|o_Peptostreptococcales|f_Peptostreptococcaceae|g_Clostridioides|s_Clostridioides difficile",1,112.5,159,661.25,2094,"RG2","NotAnnotated","NotAnnotated"
"Comamonas thiooxydans",363952,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Comamonas|s_Comamonas thiooxydans",1,4186.5,5966,10135.5,12130,"NotAnnotated","NotAnnotated","NotAnnotated"
"Corynebacterium kroppenstedtii",161879,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Mycobacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium kroppenstedtii",1,95,95,166,166,"RG2","Skin (Abundance: High) | Nasal (Abundance: Medium)","Microbiome"
"Corynebacterium propinquum",43769,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Mycobacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium propinquum",1,71,71,81.3333333333333,111,"RG2","Nasal (Abundance: High) | Unassigned","Microbiome"
"Corynebacterium tuberculostearicum",38304,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Mycobacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium tuberculostearicum",1,46,46,134.75,209,"RG1","Nasal (Abundance: High) | Skin (Abundance: High)","Microbiome"
"Cupriavidus sp. EM10",2839983,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Cupriavidus|s_Cupriavidus sp. EM10",1,5125.5,10191,9577,28639,"NotAnnotated","NotAnnotated","NotAnnotated"
"Cupriavidus taiwanensis",164546,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Cupriavidus|s_Cupriavidus taiwanensis",1,1276,3674,4531.66666666667,13377,"NotAnnotated","NotAnnotated","NotAnnotated"
"Cutibacterium granulosum",33011,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium|s_Cutibacterium granulosum",1,49,69,124,187,"RG2","Skin (Abundance: High) | Nasal (Abundance: Medium)","Microbiome"
"Delftia acidovorans",80866,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Delftia|s_Delftia acidovorans",1,281,1125,1037.53846153846,5674,"RG2","Environmental -Soil/Water (Abundance: Scarce) | Unassigned","Microbiome"
"Delftia lacustris",558537,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Delftia|s_Delftia lacustris",1,986.666666666667,2340,10658.2,38952,"NotAnnotated","NotAnnotated","NotAnnotated"
"Dermacoccus nishinomiyaensis",1274,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Micrococcales|f_Dermacoccaceae|g_Dermacoccus|s_Dermacoccus nishinomiyaensis",1,42.2,55,116.888888888889,276,"RG1","NotAnnotated","NotAnnotated"
"Elizabethkingia meningoseptica",238,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Elizabethkingia|s_Elizabethkingia meningoseptica",1,97.1666666666667,193,150,492,"NotAnnotated","NotAnnotated","NotAnnotated"
"Enterobacter hormaechei",158836,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Enterobacter|s_Enterobacter hormaechei",1,5895,5895,514168.9375,2550335,"RG2","Human-Associated, Primary Site Uncertain (Abundance: Low) | Unassigned","Microbiome"
"Enterobacter ludwigii",299767,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Enterobacter|s_Enterobacter ludwigii",1,4353,4353,3587.5,21930,"NotAnnotated","NotAnnotated","NotAnnotated"
"Fusobacterium animalis",76859,"S","r_root|k_Fusobacteriati|p_Fusobacteriota|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium animalis",1,27532.6666666667,67118,349754.333333333,795326,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Fusobacterium necrophorum",859,"S","r_root|k_Fusobacteriati|p_Fusobacteriota|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium necrophorum",1,2733,8073,19507.75,77848,"RG2","Oral (Abundance: Scarce) | Unassigned","Microbiome"
"Gemella haemolysans",1379,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Bacillales|f_Gemellaceae|g_Gemella|s_Gemella haemolysans",1,39266.25,127833,16581.2307692308,170775,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Gemella morbillorum",29391,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Bacillales|f_Gemellaceae|g_Gemella|s_Gemella morbillorum",1,28360,58383,34194.1666666667,155245,"RG2","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Herbaspirillum rubrisubalbicans",80842,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Oxalobacteraceae|g_Herbaspirillum|s_Herbaspirillum rubrisubalbicans",1,1372,2640,4021.5,11446,"RG1","NotAnnotated","NotAnnotated"
"Herbaspirillum seropedicae",964,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Oxalobacteraceae|g_Herbaspirillum|s_Herbaspirillum seropedicae",1,3036,7453,21948.6666666667,63407,"RG1","NotAnnotated","NotAnnotated"
"Herbaspirillum sp. DW155",3095609,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Oxalobacteraceae|g_Herbaspirillum|s_Herbaspirillum sp. DW155",1,1250,3083,3820,6090,"NotAnnotated","NotAnnotated","NotAnnotated"
"Kocuria rhizophila",72000,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Micrococcales|f_Micrococcaceae|g_Kocuria|s_Kocuria rhizophila",1,48,66,270,457,"RG1","Environmental -Soil/Water (Abundance: Scarce) | Unassigned","Microbiome"
"Lactococcus cremoris",1359,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Lactococcus|s_Lactococcus cremoris",1,215,215,112.125,509,"RG1","NotAnnotated","NotAnnotated"
"Leptotrichia sp. oral taxon 221",712362,"S","r_root|k_Fusobacteriati|p_Fusobacteriota|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Leptotrichia sp. oral taxon 221",1,23194,67901,17390.25,98857,"NotAnnotated","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Leptotrichia wadei",157687,"S","r_root|k_Fusobacteriati|p_Fusobacteriota|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Leptotrichia wadei",1,16021,41577,20982.5,71836,"NotAnnotated","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Mesorhizobium sp. Pch-S",2082387,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Phyllobacteriaceae|g_Mesorhizobium|s_Mesorhizobium sp. Pch-S",1,6378,6378,9428,9428,"NotAnnotated","NotAnnotated","NotAnnotated"
"Mycolicibacterium doricum",126673,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Mycobacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium doricum",1,344,344,794,794,"RG2","NotAnnotated","NotAnnotated"
"Phyllobacterium sp. T1293",555317,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Phyllobacteriaceae|g_Phyllobacterium|s_Phyllobacterium sp. T1293",1,2276,2276,5011,9046,"NotAnnotated","NotAnnotated","NotAnnotated"
"Pigmentiphaga sp. H8",2488560,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Pigmentiphaga|s_Pigmentiphaga sp. H8",1,26487,26487,18707.25,74554,"NotAnnotated","NotAnnotated","NotAnnotated"
"Porphyromonas endodontalis",28124,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_Porphyromonas endodontalis",1,55220,103291,81288.5,144330,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Prevotella jejuni",1177574,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella jejuni",1,41249.75,139922,29978.8,225163,"NotAnnotated","NotAnnotated","NotAnnotated"
"Prevotella sp. oral taxon 299",652716,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella sp. oral taxon 299",1,33831.6666666667,76141,19404.8571428571,93510,"NotAnnotated","NotAnnotated","NotAnnotated"
"Priestia megaterium",1404,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Priestia|s_Priestia megaterium",1,546,1188,1454.76923076923,7579,"RG1","NotAnnotated","NotAnnotated"
"Proteus mirabilis",584,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Enterobacterales|f_Morganellaceae|g_Proteus|s_Proteus mirabilis",1,21721,21721,43675.6666666667,130581,"RG2","Environmental -Soil/Water (Abundance: Scarce) | Opportunistic Pathogen (Abundance: No data)","Opportunist"
"Pseudomonas asiatica",2219225,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_Pseudomonas asiatica",1,6357,6357,51815.6666666667,155105,"NotAnnotated","NotAnnotated","NotAnnotated"
"Pseudomonas plecoglossicida",70775,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_Pseudomonas plecoglossicida",1,11863,11863,53590,53590,"NotAnnotated","NotAnnotated","NotAnnotated"
"Pseudomonas putida",303,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_Pseudomonas putida",1,1541,3057,20880.5,41078,"RG1","NotAnnotated","NotAnnotated"
"Pseudomonas sp. PS1(2021)",2866282,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_Pseudomonas sp. PS1(2021)",1,10626,31586,653082,1924686,"NotAnnotated","NotAnnotated","NotAnnotated"
"Ralstonia sp. RRA",3122075,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Ralstonia|s_Ralstonia sp. RRA",1,2227.5,3693,4293.66666666667,11177,"NotAnnotated","NotAnnotated","NotAnnotated"
"Rhodopseudomonas boonkerdii",475937,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Rhodopseudomonas|s_Rhodopseudomonas boonkerdii",1,35892.5,71756,50152.5,100246,"NotAnnotated","NotAnnotated","NotAnnotated"
"Rhodopseudomonas palustris",1076,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Rhodopseudomonas|s_Rhodopseudomonas palustris",1,47042,47042,62149,62149,"RG1","NotAnnotated","NotAnnotated"
"Rothia mucilaginosa",43675,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Micrococcales|f_Micrococcaceae|g_Rothia|s_Rothia mucilaginosa",1,74431.3333333333,184568,41910.4,350278,"NotAnnotated","Oral (Abundance: High) | Unassigned","Microbiome"
"Shewanella xiamenensis",332186,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Alteromonadales|f_Shewanellaceae|g_Shewanella|s_Shewanella xiamenensis",1,2094,2094,6586.5,13120,"NotAnnotated","NotAnnotated","NotAnnotated"
"Shigella boydii",621,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Shigella|s_Shigella boydii",1,843,843,7611.375,29967,"RG2","NotAnnotated","NotAnnotated"
"Shigella dysenteriae",622,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Shigella|s_Shigella dysenteriae",1,6504,6504,23231,121028,"NotAnnotated","NotAnnotated","NotAnnotated"
"Streptococcus mitis",28037,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus mitis",1,7424,20090,14962.1111111111,73635,"RG1","Oral (Abundance: High) | Unassigned","Microbiome"
"Streptococcus nidrosiense",3140788,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus nidrosiense",1,52462,200964,61853.7142857143,401842,"NotAnnotated","NotAnnotated","NotAnnotated"
"Streptococcus oralis",1303,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus oralis",1,17461.25,41690,33306,112583,"RG1","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Streptococcus sanguinis",1305,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus sanguinis",1,935.5,1825,2040.25,2922,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Streptococcus sp. Marseille-Q3533",2759692,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus sp. Marseille-Q3533",1,52045.6666666667,110906,42181.1428571429,174891,"NotAnnotated","NotAnnotated","NotAnnotated"
"Veillonella dispar",39778,"S","r_root|k_Bacillati|p_Bacillota|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_Veillonella dispar",1,20096.6666666667,95294,40904.5,317905,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Veillonella nakazawae",2682456,"S","r_root|k_Bacillati|p_Bacillota|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_Veillonella nakazawae",1,47071.1666666667,259225,189084.555555556,1505651,"NotAnnotated","NotAnnotated","NotAnnotated"
"Veillonella parvula",29466,"S","r_root|k_Bacillati|p_Bacillota|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_Veillonella parvula",1,20364.3333333333,67701,20015.1,97851,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Winkia neuii",33007,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Actinomycetales|f_Actinomycetaceae|g_Winkia|s_Winkia neuii",1,30,30,66,66,"RG2","NotAnnotated","NotAnnotated"
"Abiotrophia defectiva",46125,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Aerococcaceae|g_Abiotrophia|s_Abiotrophia defectiva",0,4021,4021,5745.66666666667,16883,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Achromobacter denitrificans",32002,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter denitrificans",0,49,49,1043,1043,"RG2","NotAnnotated","NotAnnotated"
"Achromobacter ruhlandii",72557,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter ruhlandii",0,372,372,164476,164476,"RG1","NotAnnotated","NotAnnotated"
"Achromobacter sp. EB05",3142974,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter sp. EB05",0,294,294,47145,47145,"NotAnnotated","NotAnnotated","NotAnnotated"
"Achromobacter sp. HNDS-1",3151598,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter sp. HNDS-1",0,1411,1411,585474,585474,"NotAnnotated","NotAnnotated","NotAnnotated"
"Acidovorax carolinensis",553814,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Acidovorax|s_Acidovorax carolinensis",0,77,77,869,869,"NotAnnotated","NotAnnotated","NotAnnotated"
"Acidovorax delafieldii",47920,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Acidovorax|s_Acidovorax delafieldii",0,273,273,1046,1046,"RG1","NotAnnotated","NotAnnotated"
"Acidovorax sp. FHTAMBA",3140252,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Acidovorax|s_Acidovorax sp. FHTAMBA",0,68,68,268,268,"NotAnnotated","NotAnnotated","NotAnnotated"
"Acidovorax sp. JMULE5",2518343,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Acidovorax|s_Acidovorax sp. JMULE5",0,27,27,77,77,"NotAnnotated","NotAnnotated","NotAnnotated"
"Acidovorax sp. KKS102",358220,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Acidovorax|s_Acidovorax sp. KKS102",0,270,475,1090.5,2099,"NotAnnotated","NotAnnotated","NotAnnotated"
"Acidovorax temperans",80878,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Acidovorax|s_Acidovorax temperans",0,77,77,486,486,"RG1","Environmental -Soil/Water (Abundance: Scarce) | Unassigned","Microbiome"
"Acinetobacter guillouiae",106649,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter guillouiae",0,184.5,186,452.333333333333,711,"RG1","NotAnnotated","NotAnnotated"
"Acinetobacter indicus",756892,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter indicus",0,191,191,213.5,353,"RG2","NotAnnotated","NotAnnotated"
"Acinetobacter johnsonii",40214,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter johnsonii",0,230,271,654.75,1045,"RG2","Environmental -Soil/Water (Abundance: Scarce) | Unassigned","Microbiome"
"Acinetobacter junii",40215,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter junii",0,149,228,771.5,1132,"RG1","Environmental -Soil/Water (Abundance: Scarce) | Opportunistic Pathogen (Abundance: Scarce)","Opportunist"
"Acinetobacter pittii",48296,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter pittii",0,52,52,581.666666666667,1483,"RG1","NotAnnotated","NotAnnotated"
"Acinetobacter soli",487316,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter soli",0,96,96,63.6666666666667,131,"RG1","NotAnnotated","NotAnnotated"
"Acinetobacter sp.",472,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter sp.",0,224.5,414,517.5,967,"NotAnnotated","NotAnnotated","NotAnnotated"
"Acinetobacter sp. MYb10",1827285,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter sp. MYb10",0,49,49,1389,2607,"NotAnnotated","NotAnnotated","NotAnnotated"
"Acinetobacter sp. NyZ410",2929509,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter sp. NyZ410",0,316,316,422.333333333333,937,"NotAnnotated","NotAnnotated","NotAnnotated"
"Acinetobacter sp. TAC-1",3027470,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter sp. TAC-1",0,106,106,283.75,465,"NotAnnotated","NotAnnotated","NotAnnotated"
"Acinetobacter sp. WCHA55",2004646,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter sp. WCHA55",0,77,77,245,245,"NotAnnotated","NotAnnotated","NotAnnotated"
"Acinetobacter towneri",202956,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter towneri",0,109,110,554,580,"RG1","NotAnnotated","NotAnnotated"
"Acinetobacter venetianus",52133,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter venetianus",0,220,220,172.5,286,"RG1","NotAnnotated","NotAnnotated"
"Acinetobacter wuhouensis",1879050,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter wuhouensis",0,60,60,94,104,"NotAnnotated","NotAnnotated","NotAnnotated"
"Actinomyces naeslundii",1655,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces naeslundii",0,31.5,34,123.5,152,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Actinomyces oris",544580,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces oris",0,51.5,67,767.333333333333,1563,"NotAnnotated","Oral (Abundance: High) | Unassigned","Microbiome"
"Actinomyces pacaensis",1852377,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces pacaensis",0,2126.33333333333,4289,6642.33333333333,12387,"NotAnnotated","NotAnnotated","NotAnnotated"
"Actinomyces sp. HMT 175",2789425,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces sp. HMT 175",0,113,113,924,924,"NotAnnotated","NotAnnotated","NotAnnotated"
"Actinomyces sp. oral taxon 171",706438,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces sp. oral taxon 171",0,31,31,255,255,"NotAnnotated","Oral (Abundance: High) | Unassigned","Microbiome"
"Actinomyces sp. oral taxon 414",712122,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces sp. oral taxon 414",0,88,92,239,241,"NotAnnotated","Oral (Abundance: Low) | Unassigned","Microbiome"
"Afipia carboxidovorans",40137,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Afipia|s_Afipia carboxidovorans",0,17,17,28,28,"RG1","NotAnnotated","NotAnnotated"
"Afipia sp. NBIMC_P1-C1",1320552,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Afipia|s_Afipia sp. NBIMC_P1-C1",0,149,149,1430,1430,"NotAnnotated","NotAnnotated","NotAnnotated"
"Aggregatibacter actinomycetemcomitans",714,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Aggregatibacter|s_Aggregatibacter actinomycetemcomitans",0,166,166,228.333333333333,358,"RG2","Oral (Abundance: Scarce) | Unassigned","Microbiome"
"Aggregatibacter aphrophilus",732,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Aggregatibacter|s_Aggregatibacter aphrophilus",0,1861,1861,1276.66666666667,3708,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Aggregatibacter segnis",739,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Aggregatibacter|s_Aggregatibacter segnis",0,1075,1075,1640.33333333333,4474,"RG2","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Aggregatibacter sp. 2125159857",2820817,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Aggregatibacter|s_Aggregatibacter sp. 2125159857",0,1057,1057,833.333333333333,2178,"NotAnnotated","NotAnnotated","NotAnnotated"
"Aggregatibacter sp. Marseille-P9115",2866570,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Aggregatibacter|s_Aggregatibacter sp. Marseille-P9115",0,410,410,976,1889,"NotAnnotated","NotAnnotated","NotAnnotated"
"Aggregatibacter sp. oral taxon 513",712150,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Aggregatibacter|s_Aggregatibacter sp. oral taxon 513",0,493,493,997.666666666667,2085,"NotAnnotated","Oral (Abundance: Low) | Unassigned","Microbiome"
"Agrobacterium arsenijevicii",1585697,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Rhizobiaceae|g_Agrobacterium|s_Agrobacterium arsenijevicii",0,116,116,954,954,"NotAnnotated","NotAnnotated","NotAnnotated"
"Agrobacterium cucumeris",2862866,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Rhizobiaceae|g_Agrobacterium|s_Agrobacterium cucumeris",0,188,188,1624,1624,"NotAnnotated","NotAnnotated","NotAnnotated"
